epoch,loss_E,nSigmaMAE,nSigmaMAE_weighted,nlogE_MAE,nlogE_MAE_weighted,val_loss_E,val_nSigmaMAE,val_nSigmaMAE_weighted,val_nlogE_MAE,val_nlogE_MAE_weighted
0,0.30668017268180847,0.4267832338809967,0.39069217443466187,0.5644547343254089,0.5887466669082642,0.19697675108909607,0.3990055024623871,0.36370450258255005,0.5368275046348572,0.5354476571083069
1,0.09364461898803711,0.38224467635154724,0.3510971963405609,0.5166268348693848,0.5298015475273132,0.08058538287878036,0.3821602761745453,0.34949952363967896,0.49671491980552673,0.5165061950683594
2,0.008268807083368301,0.3689118027687073,0.3383341133594513,0.4981382489204407,0.5107813477516174,-0.031130017712712288,0.3520587384700775,0.3177632689476013,0.48559823632240295,0.4912989139556885
3,-0.07070935517549515,0.3578486144542694,0.32575786113739014,0.48805108666419983,0.4970102608203888,-0.0572080984711647,0.34744951128959656,0.31313520669937134,0.4812760353088379,0.4853135943412781
4,-0.10380520671606064,0.35303327441215515,0.32080143690109253,0.483436644077301,0.49054455757141113,-0.07658956944942474,0.34433624148368835,0.3088129758834839,0.48076698184013367,0.479277640581131
5,-0.12907063961029053,0.34935876727104187,0.31708449125289917,0.4804009795188904,0.4858873188495636,-0.10096374154090881,0.3412240445613861,0.3061862289905548,0.475399911403656,0.4760154187679291
6,-0.14521825313568115,0.3467105031013489,0.3144761919975281,0.47832199931144714,0.482810378074646,-0.09317172318696976,0.3425893783569336,0.3068811297416687,0.4761087894439697,0.47733309864997864
7,-0.1648716777563095,0.34439271688461304,0.3119560778141022,0.47620275616645813,0.4795524775981903,-0.11806286126375198,0.3363741338253021,0.3025888502597809,0.4709608554840088,0.4729248285293579
8,-0.18000216782093048,0.34242966771125793,0.3097957670688629,0.4744341969490051,0.476960152387619,-0.12836021184921265,0.3351095914840698,0.30168017745018005,0.46874529123306274,0.47049498558044434
9,-0.1916363388299942,0.34100404381752014,0.3082595467567444,0.4730132222175598,0.4749321937561035,-0.13994915783405304,0.33445683121681213,0.3004915416240692,0.4662385582923889,0.46892938017845154
10,-0.20236244797706604,0.3396680951118469,0.30675533413887024,0.47179263830184937,0.4731297492980957,-0.14815212786197662,0.3343350291252136,0.30007490515708923,0.4643087089061737,0.4678589701652527
11,-0.21218805015087128,0.3385695815086365,0.30543026328086853,0.470729798078537,0.47154900431632996,-0.157001793384552,0.33495160937309265,0.29949674010276794,0.4629007577896118,0.4668135344982147
12,-0.2184719741344452,0.33782482147216797,0.30468055605888367,0.46972134709358215,0.4702044129371643,-0.1617223471403122,0.3346779942512512,0.29893195629119873,0.4618912637233734,0.46603092551231384
13,-0.2278265357017517,0.33684539794921875,0.30348220467567444,0.4687691926956177,0.4688260555267334,-0.16862495243549347,0.333610475063324,0.29758188128471375,0.4611450731754303,0.4647258222103119
14,-0.23313386738300323,0.3363606631755829,0.30290183424949646,0.46801820397377014,0.46777743101119995,-0.173616424202919,0.33179736137390137,0.29595237970352173,0.4602429270744324,0.46403107047080994
15,-0.2414219081401825,0.3354407846927643,0.30174633860588074,0.46713748574256897,0.4664143919944763,-0.1755649447441101,0.33192405104637146,0.2955538034439087,0.45993804931640625,0.46332475543022156
16,-0.2472338229417801,0.3348136246204376,0.3009582757949829,0.4664061665534973,0.46548014879226685,-0.17895571887493134,0.331567645072937,0.29509949684143066,0.45879819989204407,0.46363526582717896
17,-0.2507806420326233,0.3344278931617737,0.3006683588027954,0.46579596400260925,0.46464407444000244,-0.17535506188869476,0.3351767361164093,0.297479510307312,0.4591977596282959,0.46278148889541626
18,-0.2612484097480774,0.333516001701355,0.2994196116924286,0.4649061858654022,0.46318763494491577,-0.1787707805633545,0.3329518735408783,0.29587292671203613,0.45933935046195984,0.46236148476600647
19,-0.268378883600235,0.33280399441719055,0.29852569103240967,0.4642472565174103,0.4622627794742584,-0.18263418972492218,0.33236512541770935,0.2951408326625824,0.4586424231529236,0.46182751655578613
20,-0.2723774015903473,0.33235064148902893,0.29802414774894714,0.463774710893631,0.461541086435318,-0.18206360936164856,0.33207884430885315,0.2952750325202942,0.4586642384529114,0.4620501399040222
21,-0.2778744399547577,0.33178824186325073,0.29722172021865845,0.46327972412109375,0.46078264713287354,-0.18287262320518494,0.33177316188812256,0.29401230812072754,0.4591361880302429,0.45973244309425354
22,-0.23604100942611694,0.33454635739326477,0.3035604655742645,0.465378999710083,0.4649451673030853,-0.16751493513584137,0.33705955743789673,0.3018065392971039,0.4602622389793396,0.4634631872177124
23,-0.2593976855278015,0.3314722776412964,0.2985764741897583,0.46351107954978943,0.46178409457206726,-0.18191362917423248,0.33291754126548767,0.2965899705886841,0.4575914740562439,0.46169593930244446
24,-0.2772796154022217,0.3304506540298462,0.29649215936660767,0.46192750334739685,0.4593662917613983,-0.18718895316123962,0.33248454332351685,0.2961795926094055,0.4569069445133209,0.4608273506164551
25,-0.28643789887428284,0.32986995577812195,0.29545506834983826,0.4612973928451538,0.4583364427089691,-0.1883213073015213,0.3306329548358917,0.29435452818870544,0.4563736915588379,0.4611828625202179
26,-0.29268568754196167,0.3294699490070343,0.2947683036327362,0.4609276354312897,0.4576188623905182,-0.1867031753063202,0.33185815811157227,0.29503950476646423,0.4566502571105957,0.4605323076248169
27,-0.29207494854927063,0.32953569293022156,0.2948666512966156,0.4608806371688843,0.45764219760894775,-0.182829350233078,0.3321121037006378,0.2948139011859894,0.4570612907409668,0.4607301950454712
28,0.006989250425249338,0.3457854986190796,0.3175329566001892,0.46980515122413635,0.493612676858902,-0.1577139049768448,0.33769720792770386,0.30367153882980347,0.4605332314968109,0.46356937289237976
29,-0.2494894415140152,0.3322805166244507,0.2994033694267273,0.4623807668685913,0.4631684124469757,-0.18408656120300293,0.3360743820667267,0.30045080184936523,0.4584878385066986,0.45806509256362915
30,-0.2770138382911682,0.3297812342643738,0.29603034257888794,0.4607491195201874,0.45914509892463684,-0.19250428676605225,0.3331962525844574,0.2969347834587097,0.4579954743385315,0.45728176832199097
31,-0.2883479595184326,0.3289249837398529,0.2946847379207611,0.4601050019264221,0.4576273262500763,-0.19356165826320648,0.3314342498779297,0.29484957456588745,0.4577896296977997,0.4570356607437134
32,-0.29587051272392273,0.3283805847167969,0.29384711384773254,0.4596593677997589,0.45659855008125305,-0.19360272586345673,0.32984432578086853,0.2933417558670044,0.4577980041503906,0.4570412039756775
33,-0.3018623888492584,0.3279675543308258,0.29321038722991943,0.45928412675857544,0.4558270573616028,-0.19400352239608765,0.3297843635082245,0.2931256592273712,0.45743057131767273,0.4572894275188446
34,-0.3069017827510834,0.32760608196258545,0.2926774024963379,0.45900142192840576,0.45523276925086975,-0.18715690076351166,0.3339560925960541,0.2968217432498932,0.458352267742157,0.45746976137161255
35,-0.30969521403312683,0.32767221331596375,0.292540043592453,0.4589914083480835,0.45498573780059814,-0.19346880912780762,0.33047041296958923,0.2938176095485687,0.4563296437263489,0.45789748430252075
36,-0.3157455027103424,0.32704830169677734,0.291777640581131,0.45841890573501587,0.4541114270687103,-0.19253796339035034,0.3291894793510437,0.29249826073646545,0.45590394735336304,0.45812270045280457
37,-0.17214947938919067,0.3561466336250305,0.3239403963088989,0.46449437737464905,0.4696120321750641,-0.17885732650756836,0.32971492409706116,0.295860230922699,0.45686355233192444,0.46116897463798523
38,-0.2825775742530823,0.33095014095306396,0.29738372564315796,0.4598904550075531,0.45817989110946655,-0.19841232895851135,0.32513755559921265,0.29058292508125305,0.45543336868286133,0.45745545625686646
39,-0.30401331186294556,0.32797035574913025,0.2938178479671478,0.458647757768631,0.4553146958351135,-0.20212163031101227,0.323559433221817,0.28830933570861816,0.45593735575675964,0.4561174511909485
