epoch,logE_MAE,logE_MSE,loss_E,val_logE_MAE,val_logE_MSE,val_loss_E
0,0.842315673828125,1.1391379833221436,1.2898006439208984,0.7301267385482788,0.8616555333137512,1.1819913387298584
1,0.8090883493423462,1.059840202331543,1.1598455905914307,0.7314642071723938,0.8618423938751221,1.151955246925354
2,0.7957051992416382,1.0315548181533813,1.119077444076538,0.7369780540466309,0.8771086931228638,1.1155306100845337
3,0.7826448082923889,1.0029511451721191,1.0687493085861206,0.7124502062797546,0.8341109752655029,1.0556029081344604
4,0.7718690633773804,0.9813413023948669,1.0327141284942627,0.7032807469367981,0.8119421601295471,1.056336760520935
5,0.7649074196815491,0.9663161635398865,1.0080972909927368,0.7027274370193481,0.8191054463386536,1.051389455795288
6,0.7647016644477844,0.9674478769302368,1.0048047304153442,0.6920151114463806,0.7922133803367615,1.0284652709960938
7,0.7592784762382507,0.9556636810302734,0.988658607006073,0.7099242806434631,0.8425129652023315,1.0416383743286133
8,0.7510799765586853,0.9415311813354492,0.9619432687759399,0.6946074366569519,0.8125617504119873,0.9881092309951782
9,0.7435922622680664,0.9298189282417297,0.9381082653999329,0.6853909492492676,0.7942392230033875,0.9752340912818909
10,0.7413039803504944,0.9279146790504456,0.9230657815933228,0.6716814637184143,0.7596949338912964,0.9539998769760132
11,0.735824465751648,0.9169057011604309,0.9060506224632263,0.6739387512207031,0.7793242931365967,0.9851444959640503
12,0.731696605682373,0.9094859957695007,0.8934885263442993,0.6729909777641296,0.7702713012695312,0.9549221396446228
13,0.7280542254447937,0.9028816223144531,0.8778910636901855,0.6536116003990173,0.7350404858589172,0.9468948245048523
14,0.7244499325752258,0.8956544995307922,0.8638667464256287,0.6531674861907959,0.7369683384895325,0.9453301429748535
15,0.7201740741729736,0.8871786594390869,0.8437634706497192,0.6534908413887024,0.7353940606117249,0.9240431785583496
16,0.7241955399513245,0.8956263065338135,0.8517719507217407,0.736849308013916,0.8951142430305481,0.9656250476837158
17,0.7220674753189087,0.8890444040298462,0.8512425422668457,0.6646172404289246,0.7625836133956909,0.9278585910797119
18,0.7125687003135681,0.8752065300941467,0.8167507648468018,0.665754497051239,0.7675721645355225,0.9046816229820251
19,0.7066189646720886,0.8630545139312744,0.7966330051422119,0.6588382124900818,0.7658776640892029,0.8964990973472595
20,0.7011215686798096,0.8540789484977722,0.7784743309020996,0.651326596736908,0.7493169903755188,0.9245792627334595
21,0.6969044804573059,0.844998836517334,0.7660890221595764,0.6499359607696533,0.7440280318260193,0.8975096940994263
22,0.6925663948059082,0.8377782702445984,0.747393786907196,0.6429067254066467,0.7228487133979797,0.9129456281661987
23,0.688544750213623,0.8293794989585876,0.7352537512779236,0.6455754637718201,0.7400450110435486,0.9049675464630127
24,0.6824004054069519,0.8152482509613037,0.7153123021125793,0.6412191987037659,0.7226670980453491,0.8991041779518127
25,0.6804623007774353,0.8118032217025757,0.7051370739936829,0.6308850049972534,0.7009246945381165,0.913824200630188
26,0.677629292011261,0.806454598903656,0.6984980702400208,0.6280912160873413,0.7025154829025269,0.9141684174537659
27,0.673500657081604,0.7973438501358032,0.6836228370666504,0.6274315118789673,0.6989840865135193,0.9107137322425842
28,0.6675451397895813,0.784156322479248,0.6658394932746887,0.6288524270057678,0.7023707032203674,0.8942625522613525
29,0.6639108061790466,0.7769191861152649,0.6524633765220642,0.6337973475456238,0.7147157192230225,0.8871980309486389
30,0.6592878699302673,0.7653733491897583,0.6378600001335144,0.6252207159996033,0.697795033454895,0.9190977215766907
31,0.6552844047546387,0.7569590210914612,0.6241009831428528,0.6252021193504333,0.6921377778053284,0.8831592798233032
32,0.6531524658203125,0.7525824308395386,0.6163619160652161,0.6224122047424316,0.6918990612030029,0.9033572673797607
33,0.6490917205810547,0.7435438632965088,0.6045856475830078,0.6211124658584595,0.6876237988471985,0.8951498866081238
34,0.6465792059898376,0.7384845018386841,0.5966892242431641,0.6339734196662903,0.7132513523101807,0.888858437538147
35,0.6407191157341003,0.7246637344360352,0.5793766379356384,0.6158677935600281,0.6759318113327026,0.8781488537788391
36,0.6359392404556274,0.7144216895103455,0.5652062892913818,0.6172675490379333,0.6768535375595093,0.902252197265625
37,0.6308465600013733,0.7020599842071533,0.5523342490196228,0.620266318321228,0.6849408745765686,0.9113755226135254
38,0.6272185444831848,0.6940604448318481,0.5406939387321472,0.6101915240287781,0.6653488874435425,0.8880087733268738
39,0.6235118508338928,0.6867524981498718,0.5304416418075562,0.6091620922088623,0.6620924472808838,0.8939618468284607
40,0.6182375550270081,0.674636960029602,0.5170174837112427,0.6016765236854553,0.6449227929115295,0.8964281678199768
41,0.6131279468536377,0.6632700562477112,0.5018554925918579,0.6112483143806458,0.665730893611908,0.8906281590461731
42,0.6091965436935425,0.6545596122741699,0.49040091037750244,0.5989498496055603,0.6443660259246826,0.9154500365257263
