epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,2.2431814670562744,1.1143760681152344,2.80206298828125,2.2048118114471436,0.9568013548851013,1.7571395635604858
1,1.5857080221176147,0.874779224395752,1.1797690391540527,1.6480400562286377,0.8359725475311279,1.0760170221328735
2,1.3916733264923096,0.825144350528717,0.992757260799408,1.5197941064834595,0.7942892909049988,0.8445619344711304
3,1.2442139387130737,0.7889968156814575,0.8172364830970764,1.4278037548065186,0.809527575969696,0.8242118954658508
4,1.184801459312439,0.773444652557373,0.7639613747596741,1.2678143978118896,0.7842047810554504,0.7816235423088074
5,1.1195399761199951,0.7634648680686951,0.7466371059417725,1.3615120649337769,0.7542684078216553,0.7206953763961792
6,1.0532917976379395,0.7531275153160095,0.7256884574890137,1.1053296327590942,0.756095290184021,0.7378746271133423
7,1.050718903541565,0.752517819404602,0.727084755897522,1.0973570346832275,0.7570928335189819,0.7340694069862366
8,1.0321557521820068,0.7497816681861877,0.7211127281188965,1.1697351932525635,0.7450406551361084,0.7096514701843262
9,1.0356781482696533,0.7487347722053528,0.7229024171829224,1.085740089416504,0.752598226070404,0.7267357110977173
10,1.0127754211425781,0.7465575337409973,0.7187286615371704,1.2495801448822021,0.7482942938804626,0.709915280342102
11,0.9815623760223389,0.7410948276519775,0.7056312561035156,1.045128345489502,0.7473701238632202,0.7206804156303406
12,0.9947945475578308,0.7434289455413818,0.7122007012367249,1.054994821548462,0.7501658201217651,0.7217777967453003
13,0.9868592619895935,0.7427283525466919,0.710136353969574,1.1278157234191895,0.7432824969291687,0.7059744596481323
14,1.001916527748108,0.7431351542472839,0.713585376739502,1.0690159797668457,0.7464038133621216,0.7151583433151245
15,0.9923527240753174,0.7428418397903442,0.7129883170127869,1.112136960029602,0.7444526553153992,0.7105939984321594
