epoch,SigmaMAE,SigmaMSE,logE_MAE,logE_MSE,loss_E,loss_sigma,val_SigmaMAE,val_SigmaMSE,val_logE_MAE,val_logE_MSE,val_loss_E,val_loss_sigma
18,0.47617438435554504,0.3254520297050476,0.5367142558097839,0.503849446773529,0.41319265961647034,0.709615170955658,0.46604645252227783,0.3177073895931244,0.5649035573005676,0.5437331199645996,0.4459002614021301,1.050060749053955
19,0.47596895694732666,0.32520607113838196,0.5364129543304443,0.5034159421920776,0.4128378629684448,0.7071667313575745,0.4658382833003998,0.3175177574157715,0.5647231936454773,0.5436022281646729,0.445792555809021,1.0539027452468872
20,0.4757365584373474,0.32500192523002625,0.5361558794975281,0.5030138492584229,0.4125055968761444,0.7044432163238525,0.4675639569759369,0.31927689909935,0.5640786290168762,0.5431652069091797,0.4454341232776642,1.0522305965423584
21,0.47559434175491333,0.32480454444885254,0.5359652638435364,0.5027248859405518,0.412271112203598,0.7028530240058899,0.4678689241409302,0.3195551931858063,0.5636781454086304,0.5427330732345581,0.44507962465286255,1.0481163263320923
22,0.47537174820899963,0.3246181309223175,0.5357665419578552,0.50242018699646,0.41202184557914734,0.7005341649055481,0.46787649393081665,0.31926512718200684,0.5630775690078735,0.5421965718269348,0.44463950395584106,1.050728678703308
23,0.47526758909225464,0.32447728514671326,0.5355921387672424,0.5021705031394958,0.4118176996707916,0.6992250680923462,0.4670386016368866,0.3181467056274414,0.5633448362350464,0.5425957441329956,0.44496700167655945,1.0518839359283447
24,0.47508957982063293,0.3242749571800232,0.535419762134552,0.5019005537033081,0.4115946888923645,0.6973904371261597,0.46782970428466797,0.31882211565971375,0.5630483031272888,0.5424208045005798,0.4448234736919403,1.0540889501571655
25,0.4750223755836487,0.3241942524909973,0.5352773666381836,0.5017052292823792,0.41143348813056946,0.696318507194519,0.4673157334327698,0.3183431625366211,0.5627144575119019,0.5421174168586731,0.44457492232322693,1.0499331951141357
26,0.47492891550064087,0.324076771736145,0.5351808071136475,0.5015285611152649,0.4112880229949951,0.6949678659439087,0.4673667848110199,0.3182513415813446,0.5626063346862793,0.5421518087387085,0.4446031153202057,1.0502538681030273
27,0.47486448287963867,0.32405123114585876,0.5350660085678101,0.501390278339386,0.4111723303794861,0.6940996050834656,0.46737030148506165,0.3183336555957794,0.562673807144165,0.5421144962310791,0.44457200169563293,1.0513559579849243
28,0.4748023450374603,0.32396918535232544,0.5349759459495544,0.5012357234954834,0.41104963421821594,0.6936322450637817,0.4676784873008728,0.3184453845024109,0.5622486472129822,0.5417069792747498,0.4442388415336609,1.0503400564193726
29,0.4746215343475342,0.3237576186656952,0.5349302887916565,0.5011339783668518,0.41096732020378113,0.6922496557235718,0.4671396017074585,0.3176940381526947,0.5623711347579956,0.5418494343757629,0.44435498118400574,1.0505702495574951
30,0.474643349647522,0.3238105773925781,0.5348142385482788,0.5009790062904358,0.41083911061286926,0.6917926073074341,0.4675000011920929,0.3179226219654083,0.562195897102356,0.5415719151496887,0.4441278576850891,1.0525572299957275
31,0.47456854581832886,0.32372114062309265,0.5348029136657715,0.5009671449661255,0.4108275771141052,0.6915428638458252,0.4672899842262268,0.31760990619659424,0.5622575283050537,0.5417354106903076,0.4442620873451233,1.0535675287246704
32,0.4745623469352722,0.3236545920372009,0.5347788333892822,0.5009109973907471,0.4107809364795685,0.6910366415977478,0.4673815667629242,0.3175489604473114,0.5621073842048645,0.5415550470352173,0.44411373138427734,1.0535928010940552
33,0.47452789545059204,0.3236648440361023,0.5347092747688293,0.5008017420768738,0.4106927514076233,0.6909770965576172,0.467894971370697,0.31820377707481384,0.5623231530189514,0.5419995784759521,0.4444785714149475,1.0574488639831543
34,0.4744985103607178,0.32366055250167847,0.5346580147743225,0.5007554292678833,0.41065263748168945,0.6905038952827454,0.4678235948085785,0.3180261254310608,0.5621131658554077,0.5416420102119446,0.4441847801208496,1.0555287599563599
35,0.4744654595851898,0.3235967755317688,0.5346385836601257,0.50069659948349,0.4106070399284363,0.6903544664382935,0.46733638644218445,0.31722545623779297,0.562228262424469,0.5417912006378174,0.4443080723285675,1.0599021911621094
36,0.47444072365760803,0.3235521614551544,0.5346440672874451,0.5007268786430359,0.41063159704208374,0.690254807472229,0.4676021933555603,0.31766536831855774,0.5620841383934021,0.5417184829711914,0.444247841835022,1.0600883960723877
37,0.47442805767059326,0.32357391715049744,0.5346083045005798,0.5006583333015442,0.4105771481990814,0.6900600790977478,0.4673675000667572,0.3170534670352936,0.5622550249099731,0.5418477654457092,0.4443534314632416,1.062283992767334
