epoch,SigmaMAE,SigmaMSE,logE_MAE,logE_MSE,loss_E,val_SigmaMAE,val_SigmaMSE,val_logE_MAE,val_logE_MSE,val_loss_E
0,0.42367297410964966,0.31244781613349915,0.7677934765815735,0.8956230282783508,-0.09322088211774826,0.38052618503570557,0.2530968189239502,0.6805959343910217,0.7204149961471558,-0.2334938496351242
1,0.3871457278728485,0.26264873147010803,0.6958770155906677,0.7496039271354675,-0.17781759798526764,0.3751986622810364,0.24558155238628387,0.6740239858627319,0.709535539150238,-0.25913721323013306
2,0.3745974004268646,0.24674709141254425,0.6677430272102356,0.6975787878036499,-0.21366353332996368,0.36835211515426636,0.23933710157871246,0.6580597758293152,0.6816445589065552,-0.28197556734085083
3,0.3670991063117981,0.2375546544790268,0.6511301398277283,0.6686341762542725,-0.23665577173233032,0.36372262239456177,0.23392243683338165,0.6510299444198608,0.6677838563919067,-0.30152788758277893
4,0.3617378771305084,0.23110327124595642,0.6392903923988342,0.6487763524055481,-0.2549307942390442,0.35700753331184387,0.22704650461673737,0.6356046199798584,0.6426452994346619,-0.3175927400588989
5,0.35785773396492004,0.22668030858039856,0.6311163902282715,0.6353724598884583,-0.2704395353794098,0.353406697511673,0.2228267788887024,0.6227089166641235,0.6242964863777161,-0.32999497652053833
6,0.35728150606155396,0.2264670729637146,0.6311550140380859,0.6359671950340271,-0.28303447365760803,0.3516175448894501,0.22127845883369446,0.61637282371521,0.6154374480247498,-0.33640384674072266
7,0.3526431620121002,0.2210874855518341,0.6217136383056641,0.6200099587440491,-0.29469406604766846,0.3487440347671509,0.21851156651973724,0.6114988327026367,0.6068030595779419,-0.33987635374069214
8,0.3502167761325836,0.21856892108917236,0.6164252161979675,0.611793577671051,-0.3058508634567261,0.346456915140152,0.21536672115325928,0.6073936223983765,0.5993025898933411,-0.3415443003177643
9,0.3489929735660553,0.21739961206912994,0.6134384870529175,0.6072589159011841,-0.3163863718509674,0.3455556035041809,0.21531890332698822,0.6048077344894409,0.5965919494628906,-0.34099122881889343
10,0.34803155064582825,0.21653719246387482,0.6109679937362671,0.6037260890007019,-0.32624340057373047,0.3435816466808319,0.213326558470726,0.5994686484336853,0.5875042080879211,-0.3380860686302185
11,0.34683680534362793,0.21532301604747772,0.6086121201515198,0.5999104976654053,-0.3354405164718628,0.34253937005996704,0.2127746045589447,0.5962442755699158,0.5823584198951721,-0.33126264810562134
12,0.3458068072795868,0.2143273949623108,0.6061906218528748,0.5961902737617493,-0.34463343024253845,0.34056878089904785,0.21072985231876373,0.5920847654342651,0.5752303600311279,-0.32572200894355774
13,0.3452100455760956,0.21384942531585693,0.6046654582023621,0.5940782427787781,-0.3532288372516632,0.34067192673683167,0.21106886863708496,0.5923870205879211,0.5752804279327393,-0.32015201449394226
