epoch,logE_MAE,logE_MSE,loss_E,val_logE_MAE,val_logE_MSE,val_loss_E
0,0.8273231387138367,1.1009050607681274,1.2054917812347412,0.722922146320343,0.8391596078872681,1.0946534872055054
1,0.7816130518913269,1.0045361518859863,1.0422261953353882,0.689146101474762,0.7822517156600952,1.0215423107147217
2,0.757554829120636,0.95948725938797,0.9778509736061096,0.6812748312950134,0.7782278656959534,0.9783130884170532
3,0.7397964596748352,0.9254489541053772,0.9344071745872498,0.6757887601852417,0.7761262059211731,0.9333468675613403
4,0.7355851531028748,0.9211255311965942,0.914289116859436,0.6836126446723938,0.7894647121429443,0.9271336793899536
5,0.7228455543518066,0.8939134478569031,0.881803572177887,0.6812573075294495,0.7925348877906799,0.8928326368331909
6,0.7147058248519897,0.8795151114463806,0.8553930521011353,0.6806229948997498,0.7968608736991882,0.880876362323761
7,0.7076695561408997,0.8655865788459778,0.8360079526901245,0.65827476978302,0.7487484812736511,0.8704102039337158
8,0.7031791806221008,0.8578587770462036,0.8206877112388611,0.6868502497673035,0.8194512724876404,0.8635345101356506
9,0.6981700658798218,0.848075270652771,0.8065569996833801,0.6865363121032715,0.8207637667655945,0.8566063046455383
10,0.6948708891868591,0.8420350551605225,0.7952858805656433,0.6701032519340515,0.7844213843345642,0.8472880125045776
11,0.6908990144729614,0.8348378539085388,0.7831552028656006,0.6738501787185669,0.7945525646209717,0.8444095253944397
12,0.6884297132492065,0.8303776383399963,0.7750840187072754,0.6819934248924255,0.8146175742149353,0.8369688987731934
13,0.6855520606040955,0.8248014450073242,0.7654994130134583,0.6737915873527527,0.799623966217041,0.833267331123352
14,0.6832593679428101,0.8207952380180359,0.7579413652420044,0.6808479428291321,0.8162004351615906,0.8302537798881531
15,0.6809448599815369,0.8162369728088379,0.7501057982444763,0.6764949560165405,0.8056973814964294,0.8282843232154846
16,0.6793805360794067,0.8135362267494202,0.7445080280303955,0.6727004051208496,0.7975545525550842,0.8259066343307495
17,0.678092896938324,0.8111189007759094,0.7380806803703308,0.6796064376831055,0.8145611882209778,0.829264223575592
18,0.6759147644042969,0.8064069151878357,0.7318368554115295,0.6740840673446655,0.8024424314498901,0.8224782347679138
19,0.6745195984840393,0.803978681564331,0.7270712852478027,0.6656854748725891,0.7811152935028076,0.8234707713127136
20,0.6734869480133057,0.801609218120575,0.7230221033096313,0.670831024646759,0.7950259447097778,0.824539303779602
21,0.6721991896629333,0.7990319728851318,0.7187552452087402,0.6666195392608643,0.7853984236717224,0.8229171633720398
22,0.6708774566650391,0.7960014939308167,0.7150164842605591,0.6704629063606262,0.7945732474327087,0.8224313259124756
23,0.6700534224510193,0.7944179177284241,0.7120811343193054,0.6675838232040405,0.7878409028053284,0.8220205903053284
24,0.6691916584968567,0.7924183011054993,0.709011435508728,0.6674874424934387,0.7871612310409546,0.8206356167793274
25,0.6684414744377136,0.7906982898712158,0.7064908742904663,0.6673155426979065,0.7868339419364929,0.8200212121009827
26,0.6676746010780334,0.7891263365745544,0.7040157914161682,0.6701907515525818,0.7934017777442932,0.8199105262756348
27,0.6671898365020752,0.7878624200820923,0.7021419405937195,0.6674535870552063,0.7874769568443298,0.8188126087188721
28,0.6665350794792175,0.7865132093429565,0.7003109455108643,0.6684520840644836,0.7894191741943359,0.8192939758300781
29,0.666134774684906,0.7856354117393494,0.6986662745475769,0.6657566428184509,0.7834204435348511,0.8190687298774719
30,0.6656387448310852,0.7844792604446411,0.6972017884254456,0.6675642728805542,0.788179874420166,0.8186965584754944
31,0.6653580069541931,0.7839593291282654,0.6960687041282654,0.6654072999954224,0.7833279967308044,0.8189370632171631
32,0.66485595703125,0.782709002494812,0.6949130892753601,0.6653017997741699,0.7830831408500671,0.8192129731178284
33,0.6646761894226074,0.7823575735092163,0.6939811706542969,0.6643236875534058,0.7814404368400574,0.8188368082046509
34,0.6645517349243164,0.7821049094200134,0.6931660771369934,0.6635043621063232,0.7795895338058472,0.8194779753684998
35,0.6643576622009277,0.7815883755683899,0.6924567818641663,0.6628928184509277,0.7785928249359131,0.8192002773284912
