epoch,loss_E,loss_sigma,nSigmaMAE,nSigmaMAE_weighted,nlogE_MAE,nlogE_MAE_weighted,val_loss_E,val_loss_sigma,val_nSigmaMAE,val_nSigmaMAE_weighted,val_nlogE_MAE,val_nlogE_MAE_weighted
0,0.19947388768196106,0.2067423164844513,0.2067423164844513,0.2067423164844513,0.19947388768196106,0.19947388768196106,0.18505044281482697,0.18505044281482697,0.18505044281482697,0.18505044281482697,0.18505044281482697,0.18505044281482697
1,0.180825337767601,0.180825337767601,0.180825337767601,0.180825337767601,0.180825337767601,0.180825337767601,0.17742608487606049,0.17742608487606049,0.17742608487606049,0.17742608487606049,0.17742608487606049,0.17742608487606049
2,0.17616213858127594,0.17616213858127594,0.17616213858127594,0.17616213858127594,0.17616213858127594,0.17616213858127594,0.17439547181129456,0.17439547181129456,0.17439547181129456,0.17439547181129456,0.17439547181129456,0.17439547181129456
3,0.17118701338768005,0.17118701338768005,0.17118701338768005,0.17118701338768005,0.17118701338768005,0.17118701338768005,0.17135880887508392,0.17135880887508392,0.17135880887508392,0.17135880887508392,0.17135880887508392,0.17135880887508392
4,0.16853183507919312,0.16853183507919312,0.16853183507919312,0.16853183507919312,0.16853183507919312,0.16853183507919312,0.16927438974380493,0.16927438974380493,0.16927438974380493,0.16927438974380493,0.16927438974380493,0.16927438974380493
5,0.166358083486557,0.166358083486557,0.166358083486557,0.166358083486557,0.166358083486557,0.166358083486557,0.16728079319000244,0.16728079319000244,0.16728079319000244,0.16728079319000244,0.16728079319000244,0.16728079319000244
