epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,2.5556986331939697,1.080833911895752,2.513962507247925,2.1156930923461914,0.9155439734458923,1.4411492347717285
1,9.36813735961914,1.9275994300842285,11.495935440063477,2.4339613914489746,1.4119054079055786,6.772144794464111
2,1.8069093227386475,1.002112627029419,2.337327003479004,1.8285516500473022,0.8622775673866272,0.980697751045227
3,1.556970238685608,0.8586629033088684,1.0372480154037476,1.7656655311584473,0.8481171727180481,0.9477468729019165
4,1.422469973564148,0.8301101922988892,0.9713950753211975,1.497791051864624,0.8029824495315552,0.8554935455322266
5,1.289897084236145,0.7980552911758423,0.8202496767044067,1.3498941659927368,0.7895240187644958,0.7863045334815979
6,1.210172414779663,0.7834216952323914,0.7786538600921631,1.3728673458099365,0.7800821661949158,0.7683996558189392
7,1.2031371593475342,0.7806172370910645,0.775226891040802,1.3481451272964478,0.7777435779571533,0.7656251788139343
8,1.1865769624710083,0.7780166268348694,0.7703473567962646,1.2805297374725342,0.7772587537765503,0.766582727432251
9,1.1617203950881958,0.7749972343444824,0.7643947005271912,1.3205602169036865,0.7729389071464539,0.7571871876716614
