epoch,SigmaMAE,SigmaMSE,logE_MAE,logE_MSE,loss_E,val_SigmaMAE,val_SigmaMSE,val_logE_MAE,val_logE_MSE,val_loss_E
0,0.505328357219696,0.37602075934410095,0.6777081489562988,0.7584537863731384,1.000841736793518,0.46425244212150574,0.3277229070663452,0.6401647925376892,0.6890573501586914,0.8356282711029053
1,0.4716484546661377,0.33610641956329346,0.6315850019454956,0.6771556735038757,0.674848735332489,0.4635559618473053,0.3252125680446625,0.6281925439834595,0.65803462266922,0.7166027426719666
2,0.46243178844451904,0.32574090361595154,0.6198451519012451,0.6564801931381226,0.580665111541748,0.4631478786468506,0.32451727986335754,0.6204336285591125,0.6420759558677673,0.656886875629425
3,0.4578213095664978,0.3208727538585663,0.6142204403877258,0.6468102931976318,0.5311833620071411,0.45457708835601807,0.31539973616600037,0.614852786064148,0.6320942044258118,0.6264106631278992
4,0.45476463437080383,0.3176211714744568,0.6106854677200317,0.6406635046005249,0.4981669783592224,0.452883780002594,0.3132741451263428,0.6089931130409241,0.6230015754699707,0.6048546433448792
5,0.4525173008441925,0.31529393792152405,0.6081453561782837,0.63630211353302,0.4729619026184082,0.446772962808609,0.30674228072166443,0.6080353856086731,0.6221925616264343,0.5724680423736572
