epoch,logE_MAE,logE_MSE,loss,val_logE_MAE,val_logE_MSE,val_loss
0,0.5918943881988525,0.5888743996620178,0.8937619924545288,0.5906320810317993,0.5896078944206238,1.1740888357162476
1,0.5584765672683716,0.5367568731307983,0.8147363066673279,0.5757291316986084,0.5653623342514038,1.1051936149597168
2,0.5504065752029419,0.5245169997215271,0.7961538434028625,0.5713494420051575,0.5565686821937561,1.0904803276062012
3,0.5458664298057556,0.5175955891609192,0.7856547832489014,0.5678526759147644,0.5518837571144104,1.0824882984161377
4,0.5427278280258179,0.5128726959228516,0.7784731388092041,0.56453537940979,0.5464438796043396,1.065157175064087
5,0.5404837131500244,0.5094035863876343,0.7731987237930298,0.5641743540763855,0.5460007786750793,1.0703870058059692
6,0.5386501550674438,0.5065931677818298,0.768925666809082,0.5629156827926636,0.5437465906143188,1.0645612478256226
7,0.5371402502059937,0.5042721629142761,0.7653959393501282,0.5631445050239563,0.5435289740562439,1.0660009384155273
8,0.5359145998954773,0.5023556351661682,0.7624831795692444,0.562803328037262,0.5425322651863098,1.0640883445739746
9,0.5348312854766846,0.500678539276123,0.7599313855171204,0.5613336563110352,0.5410602688789368,1.058127760887146
10,0.5338853001594543,0.49919581413269043,0.7576771378517151,0.5607205629348755,0.5405798554420471,1.0582432746887207
11,0.5331228375434875,0.4979622960090637,0.7558006644248962,0.5609309673309326,0.5408636927604675,1.0599312782287598
12,0.5323852300643921,0.4968245029449463,0.7540695071220398,0.5595473051071167,0.5392048358917236,1.0529745817184448
13,0.5317462682723999,0.4958611726760864,0.7526018023490906,0.5602037310600281,0.5402130484580994,1.0588446855545044
14,0.5312737822532654,0.49500781297683716,0.7512925267219543,0.5598284006118774,0.5392805933952332,1.0550007820129395
15,0.5307350158691406,0.49420711398124695,0.7500755786895752,0.5600295662879944,0.5397483706474304,1.0565866231918335
16,0.5303623080253601,0.4936150908470154,0.749171793460846,0.559765100479126,0.5391618013381958,1.0554499626159668
17,0.5299740433692932,0.49299538135528564,0.7482346892356873,0.5594981908798218,0.5389081835746765,1.0553100109100342
