epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,6.055567264556885,1.1886028051376343,3.8389055728912354,1.8581401109695435,0.8818349242210388,0.9648839235305786
1,1.6204941272735596,0.8538172841072083,0.907845675945282,1.7716038227081299,0.8368111848831177,0.8677311539649963
2,1.281077265739441,0.790583610534668,0.7914527654647827,1.4016168117523193,0.767112135887146,0.7442457675933838
3,1.1307274103164673,0.7630342245101929,0.7443794012069702,1.2848546504974365,0.783245861530304,0.7736878991127014
4,1.0376989841461182,0.7466427683830261,0.7171640396118164,1.2600401639938354,0.7892730832099915,0.787897527217865
5,0.9572874903678894,0.732540488243103,0.694048285484314,0.9621110558509827,0.7275400757789612,0.6897557973861694
6,0.8831446766853333,0.7209821343421936,0.6754198670387268,1.0678704977035522,0.7564522624015808,0.7293215394020081
7,0.8360925316810608,0.7138590812683105,0.664175271987915,0.8571702837944031,0.7107024788856506,0.667158842086792
8,0.8027798533439636,0.7088567018508911,0.6565980911254883,14.252714157104492,0.7138535380363464,0.6649394035339355
9,0.7747083306312561,0.7045209407806396,0.6500264406204224,0.7935522794723511,0.7099444270133972,0.6610268950462341
10,0.752824068069458,0.7014774680137634,0.6454666256904602,0.7833834886550903,0.7090904116630554,0.6594178080558777
11,0.7344561219215393,0.6989063620567322,0.6416774392127991,0.7431414723396301,0.6884788274765015,0.6242262125015259
12,0.719325602054596,0.6967407464981079,0.6383839845657349,0.7312366962432861,0.6996604204177856,0.6428050994873047
13,0.7075215578079224,0.695144534111023,0.6359792351722717,0.944934606552124,0.6981273293495178,0.6400673985481262
14,0.6958510279655457,0.6936745047569275,0.6337966918945312,0.7446708679199219,0.6962795257568359,0.6354311108589172
15,0.686117947101593,0.6924178004264832,0.6319607496261597,0.6740464568138123,0.6916269063949585,0.6331642866134644
16,0.6783319115638733,0.6912858486175537,0.6302473545074463,0.6828640699386597,0.6854718923568726,0.6241521835327148
17,0.671145498752594,0.6904824376106262,0.6290422677993774,0.6996195912361145,0.6901899576187134,0.6285741925239563
18,0.6646820306777954,0.6896151304244995,0.6276912689208984,0.6695206761360168,0.6889965534210205,0.6275466680526733
19,0.6601995825767517,0.6889888644218445,0.626824676990509,0.6817646026611328,0.6911302804946899,0.6313536167144775
20,0.6545714139938354,0.6883146166801453,0.6258158683776855,0.6999251246452332,0.6928272843360901,0.6312890648841858
21,0.650734007358551,0.6878396272659302,0.6251017451286316,0.6837130188941956,0.6915326118469238,0.6294010877609253
22,0.6470932364463806,0.6873427033424377,0.6243327856063843,0.6731486916542053,0.6891374588012695,0.6269473433494568
23,0.6439334154129028,0.6869664192199707,0.6237856149673462,0.6824560761451721,0.6917858719825745,0.6296938061714172
