epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,1.1075327396392822,0.7698497772216797,0.8498222231864929,0.9364650845527649,0.7526178956031799,0.7411260604858398
1,0.796065628528595,0.706189751625061,0.6519973874092102,0.7723113894462585,0.6778366565704346,0.6145808696746826
2,0.7058355808258057,0.6924282908439636,0.6305747032165527,0.7030587196350098,0.6952584981918335,0.6389947533607483
3,0.6793224811553955,0.6887234449386597,0.6248835325241089,0.7841997146606445,0.731695830821991,0.70418781042099
4,0.6649513840675354,0.6866282820701599,0.6215078830718994,0.659298300743103,0.6862062811851501,0.6210135817527771
5,0.6378627419471741,0.6827319860458374,0.6154664754867554,1.7672122716903687,0.6048999428749084,0.5075133442878723
6,0.618469774723053,0.6800225377082825,0.611272394657135,0.8586149215698242,0.7239506244659424,0.6895918250083923
7,0.597776472568512,0.6771318912506104,0.6068665981292725,0.6997407078742981,0.7096703052520752,0.6655521988868713
8,0.5868338942527771,0.6757029294967651,0.6046597361564636,0.7500564455986023,0.7237420082092285,0.6985885500907898
9,0.5789074897766113,0.6746042966842651,0.6029691100120544,2.516101360321045,0.5527403950691223,0.4349137544631958
